"species_name","SET","Len Sample Count","weight_count","Sex Sample Count","Maturity Sample Count","Otolith Sample Count","DNA Sample Count","Sample_count","Proportion Males","malelen","femlen","nosexlen"
"SHORTRAKER ROCKFISH",27,2,2,2,2,2,0,2,0.5,710,710,0
"SHORTRAKER ROCKFISH",36,1,1,1,1,1,0,1,1,595,0,0
"SHORTRAKER ROCKFISH",44,7,7,7,7,7,0,7,0.71,652,560,0
"SHORTRAKER ROCKFISH",45,6,6,6,6,6,0,6,0.33,558,614,0
"SHORTRAKER ROCKFISH",47,1,1,1,1,1,0,1,1,595,0,0
"SHORTRAKER ROCKFISH",49,1,1,1,1,1,0,1,1,745,0,0
"SHORTRAKER ROCKFISH",55,2,2,2,2,2,0,2,0.5,645,765,0
"SHORTRAKER ROCKFISH",60,2,2,2,2,2,0,2,1,693,0,0
"SHORTRAKER ROCKFISH",63,1,1,1,1,1,0,1,0,0,545,0
"SHORTRAKER ROCKFISH",67,2,2,2,2,2,0,2,1,560,0,0
"SHORTRAKER ROCKFISH",68,4,4,4,4,4,0,4,0.75,647,555,0
"SHORTRAKER ROCKFISH",72,4,4,4,4,4,0,4,1,663,0,0
"SHORTRAKER ROCKFISH",74,1,1,1,1,1,0,1,0,0,550,0
"SHORTRAKER ROCKFISH",79,1,1,1,1,1,0,1,0,0,665,0
"SHORTRAKER ROCKFISH",80,1,1,1,1,1,0,1,0,0,520,0
"SHORTRAKER ROCKFISH",90,2,2,2,2,2,0,2,0,0,653,0
"YELLOWEYE ROCKFISH",23,1,1,1,1,1,1,1,1,555,0,0
"YELLOWEYE ROCKFISH",40,2,2,2,2,2,2,2,0.5,370,580,0
"YELLOWEYE ROCKFISH",42,5,5,5,5,5,5,5,0.6,603,550,0
"YELLOWEYE ROCKFISH",53,15,15,15,15,15,13,15,0.33,602,494,0
"YELLOWEYE ROCKFISH",54,8,8,8,8,8,8,8,0.5,573,493,0
"YELLOWEYE ROCKFISH",58,17,17,17,17,17,17,17,0.76,536,485,0
"YELLOWEYE ROCKFISH",60,9,9,9,9,9,9,9,0.44,648,594,0
"YELLOWEYE ROCKFISH",75,2,2,2,2,2,2,2,1,613,0,0
"YELLOWEYE ROCKFISH",82,4,4,4,4,4,4,4,0.75,623,615,0
