"Year","lat","depth","temperature","Sets"
2022,53,966.1,3.3,87
2022,53,840,3.6,84
2022,49,708.5,4.2,26
2022,50,896.7,3.7,43
2022,49,202.4,7.1,23
2022,49,693.5,4.3,20
2022,50,197.3,7.1,40
2022,49,674,4.4,29
2022,54,668.4,4.2,88
2022,52,973.9,3.3,70
2022,52,417.1,5.3,67
2022,48,1167.7,3.1,16
2022,54,255.4,5.9,91
2022,51,737.6,4,50
2022,48,789.4,4.1,19
2022,51,540.5,5,44
2022,51,436.8,5.4,47
2022,53,586.8,4.3,74
2022,48,1012.1,3.5,9
2022,48,675.3,4.4,6
2022,53,904.7,3.4,81
2022,48,1229.4,2.9,3
2022,51,947.6,3.3,56
2022,52,478.7,5,68
2022,54,1188.6,2.9,89
2022,53,711.7,3.8,77
2022,53,574.8,4.3,80
2022,54,294.5,5.9,92
2022,48,664.4,4.5,4
2022,53,567.2,4.4,83
2022,53,301.4,5.6,86
2022,48,610.6,4.7,7
2022,52,217.3,6.2,58
2022,50,1018.1,3.5,34
2022,51,269,6.3,46
2022,53,600,4.2,73
2022,48,629.5,4.6,10
2022,51,551.4,4.7,49
2022,52,732,4,61
2022,48,303.1,6.5,13
2022,49,995,3.5,22
2022,49,418.1,5.7,25
2022,49,893.6,3.7,32
2022,51,662.5,4.4,55
2022,53,756.5,3.7,76
2022,53,517.6,4.6,79
2022,48,322.9,6.5,14
2022,51,367.6,5.4,52
2022,48,976.1,3.5,17
2022,48,633.5,4.7,8
2022,52,673.1,4.1,65
2022,50,245.3,6.8,41
2022,52,983.8,3.3,62
2022,48,288.9,7.2,1
2022,49,571,4.7,28
2022,49,601,4.6,31
2022,50,704.3,4.3,38
2022,52,1020.3,3.2,59
2022,50,1191.2,3,35
2022,53,213.7,6.4,82
2022,51,456.4,5.3,45
2022,52,1080.3,3.1,69
2022,51,452.2,5.1,51
2022,53,457.6,4.9,72
2022,50,511.7,5.1,36
2022,50,249.1,6.9,42
2022,51,1033,3.3,48
2022,52,658.2,4.3,63
2022,50,202.7,6.9,39
2022,52,321.4,5.8,60
2022,51,545.5,4.6,57
2022,53,281.2,6,75
2022,49,1195.4,3,24
2022,54,579.3,4.4,90
2022,53,454.5,4.9,78
2022,51,219.4,6.4,54
2022,48,353.5,6.1,12
2022,52,623.4,4.3,66
2022,48,450.1,5.6,2
2022,53,334.4,5.4,85
2022,49,509.8,4.9,27
2022,48,412.4,5.8,15
