"YEAR","TRIP_ID","set_no","becket_no","trap_no","SBE39","HOBO","CAM"
2022,86530,5,4,4,1,1,1
2022,86530,5,30,30,1,1,1
2022,86530,5,54,54,1,1,1
2022,86530,11,3,3,1,1,1
2022,86530,11,30,30,1,1,1
2022,86530,11,54,54,1,1,1
2022,86530,18,5,5,1,1,1
2022,86530,18,30,30,1,1,1
2022,86530,18,54,54,1,1,1
2022,86530,21,5,5,1,1,1
2022,86530,21,30,30,1,1,1
2022,86530,21,54,54,1,1,1
2022,86530,30,5,5,1,1,1
2022,86530,30,30,30,1,1,1
2022,86530,30,54,54,1,1,1
2022,86530,64,5,5,1,1,1
2022,86530,64,30,30,1,1,1
2022,86530,64,54,54,1,1,1
