"Spatial","Depth","Males","Females","Males","Females","Tagged"
"S1","RD1       ",0.33,0.67,557,597,579
"S1","RD2       ",0.65,0.35,540,578,548
"S1","RD3       ",0.35,0.65,559,633,592
,,0.44,0.56,552,603,573
"S2","RD1       ",0.32,0.68,598,632,601
"S2","RD2       ",0.64,0.36,543,594,561
"S2","RD3       ",0.36,0.64,569,651,610
,,0.44,0.56,570,626,591
"S3","RD1       ",0.28,0.72,594,638,604
"S3","RD2       ",0.61,0.39,565,611,573
"S3","RD3       ",0.53,0.47,590,654,608
,,0.47,0.53,583,634,595
"S4","RD1       ",0.26,0.74,610,663,636
"S4","RD2       ",0.5,0.5,559,583,564
"S4","RD3       ",0.5,0.5,592,659,611
,,0.42,0.58,587,635,604
"S5","RD1       ",0.28,0.72,581,633,605
"S5","RD2       ",0.63,0.37,546,590,563
"S5","RD3       ",0.66,0.34,551,625,590
,,0.52,0.48,559,616,586
